	filename	cellType	treatment	antibody	description
442	wgEncodeAwgTfbsSydhHepg2Nrf1IggrabUniPk.narrowPeak	HepG2	None	Nrf1	ChIP HepG2 Nrf1
443	wgEncodeAwgTfbsSydhHepg2P300sc582IggrabUniPk.narrowPeak	HepG2	None	p300_(SC-584)	ChIP HepG2 p300_(SC-584)
444	wgEncodeAwgTfbsSydhHepg2Pgc1aForsklnUniPk.narrowPeak	HepG2	forskolin	PGC1A	ChIP HepG2 PGC1A
445	wgEncodeAwgTfbsSydhHepg2Pol2ForsklnUniPk.narrowPeak	HepG2	forskolin	Pol2	ChIP HepG2 Pol2
446	wgEncodeAwgTfbsSydhHepg2Pol2IggrabUniPk.narrowPeak	HepG2	None	Pol2	ChIP HepG2 Pol2
447	wgEncodeAwgTfbsSydhHepg2Pol2s2IggrabUniPk.narrowPeak	HepG2	None	Pol2(phosphoS2)	ChIP HepG2 Pol2(phosphoS2)
448	wgEncodeAwgTfbsSydhHepg2Rad21IggrabUniPk.narrowPeak	HepG2	None	Rad21	ChIP HepG2 Rad21
449	wgEncodeAwgTfbsSydhHepg2Rfx5200401194IggrabUniPk.narrowPeak	HepG2	None	RFX5_(200-401-194)	ChIP HepG2 RFX5_(200-401-194)
450	wgEncodeAwgTfbsSydhHepg2Smc3ab9263IggrabUniPk.narrowPeak	HepG2	None	SMC3_(ab9263)	ChIP HepG2 SMC3_(ab9263)
451	wgEncodeAwgTfbsSydhHepg2TbpIggrabUniPk.narrowPeak	HepG2	None	TBP	ChIP HepG2 TBP
452	wgEncodeAwgTfbsSydhHepg2Tcf7l2UcdUniPk.narrowPeak	HepG2	None	TCF7L2	ChIP HepG2 TCF7L2
453	wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk.narrowPeak	HepG2	None	TR4	ChIP HepG2 TR4
454	wgEncodeAwgTfbsSydhHepg2Usf2IggrabUniPk.narrowPeak	HepG2	None	USF2	ChIP HepG2 USF2
455	wgEncodeAwgTfbsSydhHepg2Znf274UcdUniPk.narrowPeak	HepG2	None	ZNF274	ChIP HepG2 ZNF274
456	wgEncodeAwgTfbsSydhHuvecCfosUcdUniPk.narrowPeak	HUVEC	None	c-Fos	ChIP HUVEC c-Fos
457	wgEncodeAwgTfbsSydhHuvecCjunUniPk.narrowPeak	HUVEC	None	c-Jun	ChIP HUVEC c-Jun
458	wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk.narrowPeak	HUVEC	None	GATA-2	ChIP HUVEC GATA-2
459	wgEncodeAwgTfbsSydhHuvecMaxUniPk.narrowPeak	HUVEC	None	Max	ChIP HUVEC Max
460	wgEncodeAwgTfbsSydhHuvecPol2UniPk.narrowPeak	HUVEC	None	Pol2	ChIP HUVEC Pol2
461	wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk.narrowPeak	IMR90	None	CEBPB	ChIP IMR90 CEBPB
462	wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk.narrowPeak	IMR90	None	CTCF_(SC-15914)	ChIP IMR90 CTCF_(SC-15914)
463	wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk.narrowPeak	IMR90	None	MafK_(ab50322)	ChIP IMR90 MafK_(ab50322)
464	wgEncodeAwgTfbsSydhImr90Pol2IggrabUniPk.narrowPeak	IMR90	None	Pol2	ChIP IMR90 Pol2
465	wgEncodeAwgTfbsSydhImr90Rad21IggrabUniPk.narrowPeak	IMR90	None	Rad21	ChIP IMR90 Rad21
466	wgEncodeAwgTfbsSydhK562Arid3asc8821IggrabUniPk.narrowPeak	K562	None	ARID3A_(sc-8821)	ChIP K562 ARID3A_(sc-8821)
467	wgEncodeAwgTfbsSydhK562Atf106325UniPk.narrowPeak	K562	None	ATF1_(06-325)	ChIP K562 ATF1_(06-325)
468	wgEncodeAwgTfbsSydhK562Atf3UniPk.narrowPeak	K562	None	ATF3	ChIP K562 ATF3
469	wgEncodeAwgTfbsSydhK562Bach1sc14700IggrabUniPk.narrowPeak	K562	None	Bach1_(sc-14700)	ChIP K562 Bach1_(sc-14700)
470	wgEncodeAwgTfbsSydhK562Bdp1UniPk.narrowPeak	K562	None	BDP1	ChIP K562 BDP1
471	wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk.narrowPeak	K562	None	BHLHE40_(NB100-1800)	ChIP K562 BHLHE40_(NB100-1800)
472	wgEncodeAwgTfbsSydhK562Brf1UniPk.narrowPeak	K562	None	BRF1	ChIP K562 BRF1
473	wgEncodeAwgTfbsSydhK562Brf2UniPk.narrowPeak	K562	None	BRF2	ChIP K562 BRF2
474	wgEncodeAwgTfbsSydhK562Brg1IggmusUniPk.narrowPeak	K562	None	Brg1	ChIP K562 Brg1
475	wgEncodeAwgTfbsSydhK562Ccnt2UniPk.narrowPeak	K562	None	CCNT2	ChIP K562 CCNT2
476	wgEncodeAwgTfbsSydhK562CebpbIggrabUniPk.narrowPeak	K562	None	CEBPB	ChIP K562 CEBPB
477	wgEncodeAwgTfbsSydhK562CfosUniPk.narrowPeak	K562	None	c-Fos	ChIP K562 c-Fos
478	wgEncodeAwgTfbsSydhK562Chd2ab68301IggrabUniPk.narrowPeak	K562	None	CHD2_(AB68301)	ChIP K562 CHD2_(AB68301)
479	wgEncodeAwgTfbsSydhK562CjunIfna30UniPk.narrowPeak	K562	IFNa30	c-Jun	ChIP K562 c-Jun
480	wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk.narrowPeak	K562	IFNa6h	c-Jun	ChIP K562 c-Jun
481	wgEncodeAwgTfbsSydhK562CjunIfng30UniPk.narrowPeak	K562	IFNg30	c-Jun	ChIP K562 c-Jun
482	wgEncodeAwgTfbsSydhK562CjunIfng6hUniPk.narrowPeak	K562	IFNg6h	c-Jun	ChIP K562 c-Jun
483	wgEncodeAwgTfbsSydhK562CjunUniPk.narrowPeak	K562	None	c-Jun	ChIP K562 c-Jun
484	wgEncodeAwgTfbsSydhK562CmycIfna30UniPk.narrowPeak	K562	IFNa30	c-Myc	ChIP K562 c-Myc
485	wgEncodeAwgTfbsSydhK562CmycIfna6hUniPk.narrowPeak	K562	IFNa6h	c-Myc	ChIP K562 c-Myc
486	wgEncodeAwgTfbsSydhK562CmycIfng30UniPk.narrowPeak	K562	IFNg30	c-Myc	ChIP K562 c-Myc
487	wgEncodeAwgTfbsSydhK562CmycIfng6hUniPk.narrowPeak	K562	IFNg6h	c-Myc	ChIP K562 c-Myc
488	wgEncodeAwgTfbsSydhK562CmycIggrabUniPk.narrowPeak	K562	None	c-Myc	ChIP K562 c-Myc
489	wgEncodeAwgTfbsSydhK562CmycUniPk.narrowPeak	K562	None	c-Myc	ChIP K562 c-Myc
490	wgEncodeAwgTfbsSydhK562Corestab24166IggrabUniPk.narrowPeak	K562	None	COREST_(ab24166)	ChIP K562 COREST_(ab24166)
491	wgEncodeAwgTfbsSydhK562Corestsc30189IggrabUniPk.narrowPeak	K562	None	COREST_(sc-30189)	ChIP K562 COREST_(sc-30189)
492	wgEncodeAwgTfbsSydhK562CtcfbIggrabUniPk.narrowPeak	K562	None	CTCF_(SC-15914)	ChIP K562 CTCF_(SC-15914)
493	wgEncodeAwgTfbsSydhK562E2f4UcdUniPk.narrowPeak	K562	None	E2F4	ChIP K562 E2F4
494	wgEncodeAwgTfbsSydhK562E2f6UcdUniPk.narrowPeak	K562	None	E2F6	ChIP K562 E2F6
495	wgEncodeAwgTfbsSydhK562Elk112771IggrabUniPk.narrowPeak	K562	None	ELK1_(1277-1)	ChIP K562 ELK1_(1277-1)
496	wgEncodeAwgTfbsSydhK562Gata1UcdUniPk.narrowPeak	K562	None	GATA-1	ChIP K562 GATA-1
497	wgEncodeAwgTfbsSydhK562Gata2UcdUniPk.narrowPeak	K562	None	GATA-2	ChIP K562 GATA-2
498	wgEncodeAwgTfbsSydhK562Gtf2bUniPk.narrowPeak	K562	None	GTF2B	ChIP K562 GTF2B
499	wgEncodeAwgTfbsSydhK562Gtf2f1ab28179IggrabUniPk.narrowPeak	K562	None	GTF2F1_(AB28179)	ChIP K562 GTF2F1_(AB28179)
500	wgEncodeAwgTfbsSydhK562Hmgn3UniPk.narrowPeak	K562	None	HMGN3	ChIP K562 HMGN3
501	wgEncodeAwgTfbsSydhK562Ini1IggmusUniPk.narrowPeak	K562	None	Ini1	ChIP K562 Ini1
502	wgEncodeAwgTfbsSydhK562Irf1Ifna30UniPk.narrowPeak	K562	IFNa30	IRF1	ChIP K562 IRF1
503	wgEncodeAwgTfbsSydhK562Irf1Ifna6hUniPk.narrowPeak	K562	IFNa6h	IRF1	ChIP K562 IRF1
504	wgEncodeAwgTfbsSydhK562Irf1Ifng30UniPk.narrowPeak	K562	IFNg30	IRF1	ChIP K562 IRF1
505	wgEncodeAwgTfbsSydhK562Irf1Ifng6hUniPk.narrowPeak	K562	IFNg6h	IRF1	ChIP K562 IRF1
506	wgEncodeAwgTfbsSydhK562JundIggrabUniPk.narrowPeak	K562	None	JunD	ChIP K562 JunD
507	wgEncodeAwgTfbsSydhK562Kap1UcdUniPk.narrowPeak	K562	None	KAP1	ChIP K562 KAP1
508	wgEncodeAwgTfbsSydhK562MaffIggrabUniPk.narrowPeak	K562	None	MafF_(M8194)	ChIP K562 MafF_(M8194)
509	wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk.narrowPeak	K562	None	MafK_(ab50322)	ChIP K562 MafK_(ab50322)
510	wgEncodeAwgTfbsSydhK562MaxIggrabUniPk.narrowPeak	K562	None	Max	ChIP K562 Max
511	wgEncodeAwgTfbsSydhK562Mazab85725IggrabUniPk.narrowPeak	K562	None	MAZ_(ab85725)	ChIP K562 MAZ_(ab85725)
512	wgEncodeAwgTfbsSydhK562Mxi1af4185IggrabUniPk.narrowPeak	K562	None	Mxi1_(AF4185)	ChIP K562 Mxi1_(AF4185)
513	wgEncodeAwgTfbsSydhK562NelfeUniPk.narrowPeak	K562	None	NELFe	ChIP K562 NELFe
514	wgEncodeAwgTfbsSydhK562Nfe2UniPk.narrowPeak	K562	None	NF-E2	ChIP K562 NF-E2
515	wgEncodeAwgTfbsSydhK562NfyaUniPk.narrowPeak	K562	None	NF-YA	ChIP K562 NF-YA
516	wgEncodeAwgTfbsSydhK562NfybUniPk.narrowPeak	K562	None	NF-YB	ChIP K562 NF-YB
517	wgEncodeAwgTfbsSydhK562Nrf1IggrabUniPk.narrowPeak	K562	None	Nrf1	ChIP K562 Nrf1
518	wgEncodeAwgTfbsSydhK562P300IggrabUniPk.narrowPeak	K562	None	p300	ChIP K562 p300
519	wgEncodeAwgTfbsSydhK562Pol2Ifna30UniPk.narrowPeak	K562	IFNa30	Pol2	ChIP K562 Pol2
520	wgEncodeAwgTfbsSydhK562Pol2Ifna6hUniPk.narrowPeak	K562	IFNa6h	Pol2	ChIP K562 Pol2
521	wgEncodeAwgTfbsSydhK562Pol2Ifng30UniPk.narrowPeak	K562	IFNg30	Pol2	ChIP K562 Pol2
522	wgEncodeAwgTfbsSydhK562Pol2Ifng6hUniPk.narrowPeak	K562	IFNg6h	Pol2	ChIP K562 Pol2
523	wgEncodeAwgTfbsSydhK562Pol2IggmusUniPk.narrowPeak	K562	None	Pol2	ChIP K562 Pol2
524	wgEncodeAwgTfbsSydhK562Pol2UniPk.narrowPeak	K562	None	Pol2	ChIP K562 Pol2
525	wgEncodeAwgTfbsSydhK562Pol2s2IggrabUniPk.narrowPeak	K562	None	Pol2(phosphoS2)	ChIP K562 Pol2(phosphoS2)
526	wgEncodeAwgTfbsSydhK562Pol2s2UniPk.narrowPeak	K562	None	Pol2(phosphoS2)	ChIP K562 Pol2(phosphoS2)
527	wgEncodeAwgTfbsSydhK562Pol3UniPk.narrowPeak	K562	None	Pol3	ChIP K562 Pol3
528	wgEncodeAwgTfbsSydhK562Rad21UniPk.narrowPeak	K562	None	Rad21	ChIP K562 Rad21
529	wgEncodeAwgTfbsSydhK562Rfx5IggrabUniPk.narrowPeak	K562	None	RFX5_(200-401-194)	ChIP K562 RFX5_(200-401-194)
530	wgEncodeAwgTfbsSydhK562Rpc155UniPk.narrowPeak	K562	None	RPC155	ChIP K562 RPC155
531	wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk.narrowPeak	K562	MNaseD	SETDB1	ChIP K562 SETDB1
532	wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk.narrowPeak	K562	None	SETDB1	ChIP K562 SETDB1
533	wgEncodeAwgTfbsSydhK562Sirt6UniPk.narrowPeak	K562	None	SIRT6	ChIP K562 SIRT6
534	wgEncodeAwgTfbsSydhK562Smc3ab9263IggrabUniPk.narrowPeak	K562	None	SMC3_(ab9263)	ChIP K562 SMC3_(ab9263)
535	wgEncodeAwgTfbsSydhK562Stat1Ifna30UniPk.narrowPeak	K562	IFNa30	STAT1	ChIP K562 STAT1
536	wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk.narrowPeak	K562	IFNa6h	STAT1	ChIP K562 STAT1
537	wgEncodeAwgTfbsSydhK562Stat1Ifng30UniPk.narrowPeak	K562	IFNg30	STAT1	ChIP K562 STAT1
538	wgEncodeAwgTfbsSydhK562Stat1Ifng6hUniPk.narrowPeak	K562	IFNg6h	STAT1	ChIP K562 STAT1
539	wgEncodeAwgTfbsSydhK562Stat2Ifna30UniPk.narrowPeak	K562	IFNa30	STAT2	ChIP K562 STAT2
540	wgEncodeAwgTfbsSydhK562Stat2Ifna6hUniPk.narrowPeak	K562	IFNa6h	STAT2	ChIP K562 STAT2
541	wgEncodeAwgTfbsSydhK562Tal1sc12984IggmusUniPk.narrowPeak	K562	None	TAL1_(SC-12984)	ChIP K562 TAL1_(SC-12984)
542	wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk.narrowPeak	K562	None	TBLR1_(ab24550)	ChIP K562 TBLR1_(ab24550)
543	wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk.narrowPeak	K562	None	TBLR1_(NB600-270)	ChIP K562 TBLR1_(NB600-270)
544	wgEncodeAwgTfbsSydhK562TbpIggmusUniPk.narrowPeak	K562	None	TBP	ChIP K562 TBP
545	wgEncodeAwgTfbsSydhK562Tf3c110UniPk.narrowPeak	K562	None	TFIIIC-110	ChIP K562 TFIIIC-110
546	wgEncodeAwgTfbsSydhK562Tr4UcdUniPk.narrowPeak	K562	None	TR4	ChIP K562 TR4
547	wgEncodeAwgTfbsSydhK562Ubfsc13125IggmusUniPk.narrowPeak	K562	None	UBF_(sc-13125)	ChIP K562 UBF_(sc-13125)
548	wgEncodeAwgTfbsSydhK562Ubtfsab1404509IggmusUniPk.narrowPeak	K562	None	UBTF_(SAB1404509)	ChIP K562 UBTF_(SAB1404509)
549	wgEncodeAwgTfbsSydhK562Usf2IggrabUniPk.narrowPeak	K562	None	USF2	ChIP K562 USF2
550	wgEncodeAwgTfbsSydhK562Yy1UcdUniPk.narrowPeak	K562	None	YY1	ChIP K562 YY1
551	wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk.narrowPeak	K562	None	Znf143_(16618-1-AP)	ChIP K562 Znf143_(16618-1-AP)
552	wgEncodeAwgTfbsSydhK562Znf263UcdUniPk.narrowPeak	K562	None	ZNF263	ChIP K562 ZNF263
553	wgEncodeAwgTfbsSydhK562Znf274UcdUniPk.narrowPeak	K562	None	ZNF274	ChIP K562 ZNF274
554	wgEncodeAwgTfbsSydhK562Znf274m01UcdUniPk.narrowPeak	K562	None	ZNF274_(M01)	ChIP K562 ZNF274_(M01)
555	wgEncodeAwgTfbsSydhMcf10aesCfosEtoh01HvdUniPk.narrowPeak	MCF10A-Er-Src	EtOH_0.01pct	c-Fos	ChIP MCF10A-Er-Src c-Fos
556	wgEncodeAwgTfbsSydhMcf10aesCfosTam112hHvdUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_12hr	c-Fos	ChIP MCF10A-Er-Src c-Fos
557	wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_4hr	c-Fos	ChIP MCF10A-Er-Src c-Fos
558	wgEncodeAwgTfbsSydhMcf10aesCfosTamHvdUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_36hr	c-Fos	ChIP MCF10A-Er-Src c-Fos
559	wgEncodeAwgTfbsSydhMcf10aesCmycEtoh01HvdUniPk.narrowPeak	MCF10A-Er-Src	EtOH_0.01pct	c-Myc	ChIP MCF10A-Er-Src c-Myc
560	wgEncodeAwgTfbsSydhMcf10aesCmycTam14hHvdUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_4hr	c-Myc	ChIP MCF10A-Er-Src c-Myc
561	wgEncodeAwgTfbsSydhMcf10aesE2f4TamHvdUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_36hr	E2F4	ChIP MCF10A-Er-Src E2F4
562	wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk.narrowPeak	MCF10A-Er-Src	EtOH_0.01pct	Pol2	ChIP MCF10A-Er-Src Pol2
563	wgEncodeAwgTfbsSydhMcf10aesPol2TamUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_36hr	Pol2	ChIP MCF10A-Er-Src Pol2
564	wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk.narrowPeak	MCF10A-Er-Src	EtOH_0.01pct	STAT3	ChIP MCF10A-Er-Src STAT3
565	wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01bUniPk.narrowPeak	MCF10A-Er-Src	EtOH_0.01pct_4hr	STAT3	ChIP MCF10A-Er-Src STAT3
566	wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01cUniPk.narrowPeak	MCF10A-Er-Src	EtOH_0.01pct_12hr	STAT3	ChIP MCF10A-Er-Src STAT3
567	wgEncodeAwgTfbsSydhMcf10aesStat3Tam112hHvdUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_12hr	STAT3	ChIP MCF10A-Er-Src STAT3
568	wgEncodeAwgTfbsSydhMcf10aesStat3TamUniPk.narrowPeak	MCF10A-Er-Src	4OHTAM_1uM_36hr	STAT3	ChIP MCF10A-Er-Src STAT3
569	wgEncodeAwgTfbsSydhMcf7Gata3UcdUniPk.narrowPeak	MCF-7	None	GATA3_(SC-268)	ChIP MCF-7 GATA3_(SC-268)
570	wgEncodeAwgTfbsSydhMcf7Gata3sc269UcdUniPk.narrowPeak	MCF-7	None	GATA3_(SC-269)	ChIP MCF-7 GATA3_(SC-269)
571	wgEncodeAwgTfbsSydhMcf7Hae2f1UcdUniPk.narrowPeak	MCF-7	None	HA-E2F1	ChIP MCF-7 HA-E2F1
572	wgEncodeAwgTfbsSydhMcf7Tcf7l2UcdUniPk.narrowPeak	MCF-7	None	TCF7L2	ChIP MCF-7 TCF7L2
573	wgEncodeAwgTfbsSydhMcf7Znf217UcdUniPk.narrowPeak	MCF-7	None	ZNF217	ChIP MCF-7 ZNF217
574	wgEncodeAwgTfbsSydhNb4CmycUniPk.narrowPeak	NB4	None	c-Myc	ChIP NB4 c-Myc
575	wgEncodeAwgTfbsSydhNb4MaxUniPk.narrowPeak	NB4	None	Max	ChIP NB4 Max
576	wgEncodeAwgTfbsSydhNb4Pol2UniPk.narrowPeak	NB4	None	Pol2	ChIP NB4 Pol2
577	wgEncodeAwgTfbsSydhNt2d1Suz12UcdUniPk.narrowPeak	NT2-D1	None	SUZ12	ChIP NT2-D1 SUZ12
578	wgEncodeAwgTfbsSydhNt2d1Yy1UcdUniPk.narrowPeak	NT2-D1	None	YY1	ChIP NT2-D1 YY1
579	wgEncodeAwgTfbsSydhNt2d1Znf274UcdUniPk.narrowPeak	NT2-D1	None	ZNF274	ChIP NT2-D1 ZNF274
580	wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk.narrowPeak	PANC-1	None	TCF7L2	ChIP PANC-1 TCF7L2
581	wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk.narrowPeak	PBDE	None	GATA-1	ChIP PBDE GATA-1
582	wgEncodeAwgTfbsSydhPbdePol2UcdUniPk.narrowPeak	PBDE	None	Pol2	ChIP PBDE Pol2
583	wgEncodeAwgTfbsSydhPbdefetalGata1UcdUniPk.narrowPeak	PBDEFetal	None	GATA-1	ChIP PBDEFetal GATA-1
584	wgEncodeAwgTfbsSydhRajiPol2UcdUniPk.narrowPeak	Raji	None	Pol2	ChIP Raji Pol2
585	wgEncodeAwgTfbsSydhShsy5yGata2UcdUniPk.narrowPeak	SH-SY5Y	None	GATA-2	ChIP SH-SY5Y GATA-2
586	wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk.narrowPeak	SH-SY5Y	None	GATA3_(SC-269)	ChIP SH-SY5Y GATA3_(SC-269)
587	wgEncodeAwgTfbsSydhU2osKap1UcdUniPk.narrowPeak	U2OS	None	KAP1	ChIP U2OS KAP1
588	wgEncodeAwgTfbsSydhU2osSetdb1UcdUniPk.narrowPeak	U2OS	None	SETDB1	ChIP U2OS SETDB1
589	wgEncodeAwgTfbsUchicagoK562EfosUniPk.narrowPeak	K562	None	eGFP-FOS	ChIP K562 eGFP-FOS
590	wgEncodeAwgTfbsUchicagoK562Egata2UniPk.narrowPeak	K562	None	eGFP-GATA2	ChIP K562 eGFP-GATA2
591	wgEncodeAwgTfbsUchicagoK562Ehdac8UniPk.narrowPeak	K562	None	eGFP-HDAC8	ChIP K562 eGFP-HDAC8
592	wgEncodeAwgTfbsUchicagoK562EjunbUniPk.narrowPeak	K562	None	eGFP-JunB	ChIP K562 eGFP-JunB
593	wgEncodeAwgTfbsUchicagoK562EjundUniPk.narrowPeak	K562	None	eGFP-JunD	ChIP K562 eGFP-JunD
594	wgEncodeAwgTfbsUtaA549CtcfUniPk.narrowPeak	A549	None	CTCF	ChIP A549 CTCF
595	wgEncodeAwgTfbsUtaA549Pol2UniPk.narrowPeak	A549	None	Pol2	ChIP A549 Pol2
596	wgEncodeAwgTfbsUtaFibroblCtcfUniPk.narrowPeak	Fibrobl	None	CTCF	ChIP Fibrobl CTCF
597	wgEncodeAwgTfbsUtaGlioblaCtcfUniPk.narrowPeak	Gliobla	None	CTCF	ChIP Gliobla CTCF
598	wgEncodeAwgTfbsUtaGlioblaPol2UniPk.narrowPeak	Gliobla	None	Pol2	ChIP Gliobla Pol2
599	wgEncodeAwgTfbsUtaGm12878CmycUniPk.narrowPeak	GM12878	None	c-Myc	ChIP GM12878 c-Myc
600	wgEncodeAwgTfbsUtaGm12878CtcfUniPk.narrowPeak	GM12878	None	CTCF	ChIP GM12878 CTCF
601	wgEncodeAwgTfbsUtaGm12878Pol2UniPk.narrowPeak	GM12878	None	Pol2	ChIP GM12878 Pol2
602	wgEncodeAwgTfbsUtaGm12891CtcfUniPk.narrowPeak	GM12891	None	CTCF	ChIP GM12891 CTCF
603	wgEncodeAwgTfbsUtaGm12892CtcfUniPk.narrowPeak	GM12892	None	CTCF	ChIP GM12892 CTCF
604	wgEncodeAwgTfbsUtaGm19238CtcfUniPk.narrowPeak	GM19238	None	CTCF	ChIP GM19238 CTCF
605	wgEncodeAwgTfbsUtaGm19239CtcfUniPk.narrowPeak	GM19239	None	CTCF	ChIP GM19239 CTCF
606	wgEncodeAwgTfbsUtaGm19240CtcfUniPk.narrowPeak	GM19240	None	CTCF	ChIP GM19240 CTCF
607	wgEncodeAwgTfbsUtaH1hescCmycUniPk.narrowPeak	H1-hESC	None	c-Myc	ChIP H1-hESC c-Myc
608	wgEncodeAwgTfbsUtaH1hescCtcfUniPk.narrowPeak	H1-hESC	None	CTCF	ChIP H1-hESC CTCF
609	wgEncodeAwgTfbsUtaH1hescPol2UniPk.narrowPeak	H1-hESC	None	Pol2	ChIP H1-hESC Pol2
610	wgEncodeAwgTfbsUtaHelas3CmycUniPk.narrowPeak	HeLa-S3	None	c-Myc	ChIP HeLa-S3 c-Myc
611	wgEncodeAwgTfbsUtaHelas3CtcfUniPk.narrowPeak	HeLa-S3	None	CTCF	ChIP HeLa-S3 CTCF
612	wgEncodeAwgTfbsUtaHelas3Pol2UniPk.narrowPeak	HeLa-S3	None	Pol2	ChIP HeLa-S3 Pol2
613	wgEncodeAwgTfbsUtaHepg2CmycUniPk.narrowPeak	HepG2	None	c-Myc	ChIP HepG2 c-Myc
614	wgEncodeAwgTfbsUtaHepg2CtcfUniPk.narrowPeak	HepG2	None	CTCF	ChIP HepG2 CTCF
615	wgEncodeAwgTfbsUtaHepg2Pol2UniPk.narrowPeak	HepG2	None	Pol2	ChIP HepG2 Pol2
616	wgEncodeAwgTfbsUtaHuvecCmycUniPk.narrowPeak	HUVEC	None	c-Myc	ChIP HUVEC c-Myc
617	wgEncodeAwgTfbsUtaHuvecCtcfUniPk.narrowPeak	HUVEC	None	CTCF	ChIP HUVEC CTCF
618	wgEncodeAwgTfbsUtaHuvecPol2UniPk.narrowPeak	HUVEC	None	Pol2	ChIP HUVEC Pol2
619	wgEncodeAwgTfbsUtaK562CmycUniPk.narrowPeak	K562	None	c-Myc	ChIP K562 c-Myc
620	wgEncodeAwgTfbsUtaK562CtcfUniPk.narrowPeak	K562	None	CTCF	ChIP K562 CTCF
621	wgEncodeAwgTfbsUtaK562Pol2UniPk.narrowPeak	K562	None	Pol2	ChIP K562 Pol2
622	wgEncodeAwgTfbsUtaMcf7CmycEstroUniPk.narrowPeak	MCF-7	estrogen	c-Myc	ChIP MCF-7 c-Myc
623	wgEncodeAwgTfbsUtaMcf7CmycSerumstimUniPk.narrowPeak	MCF-7	serum_stimulated_media	c-Myc	ChIP MCF-7 c-Myc
624	wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk.narrowPeak	MCF-7	serum_starved_media	c-Myc	ChIP MCF-7 c-Myc
625	wgEncodeAwgTfbsUtaMcf7CmycVehUniPk.narrowPeak	MCF-7	vehicle	c-Myc	ChIP MCF-7 c-Myc
626	wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk.narrowPeak	MCF-7	estrogen	CTCF	ChIP MCF-7 CTCF
627	wgEncodeAwgTfbsUtaMcf7CtcfSerumstimUniPk.narrowPeak	MCF-7	serum_stimulated_media	CTCF	ChIP MCF-7 CTCF
628	wgEncodeAwgTfbsUtaMcf7CtcfSerumstvdUniPk.narrowPeak	MCF-7	serum_starved_media	CTCF	ChIP MCF-7 CTCF
629	wgEncodeAwgTfbsUtaMcf7CtcfUniPk.narrowPeak	MCF-7	None	CTCF	ChIP MCF-7 CTCF
630	wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk.narrowPeak	MCF-7	vehicle	CTCF	ChIP MCF-7 CTCF
631	wgEncodeAwgTfbsUtaMcf7Pol2SerumstimUniPk.narrowPeak	MCF-7	serum_stimulated_media	Pol2	ChIP MCF-7 Pol2
632	wgEncodeAwgTfbsUtaMcf7Pol2SerumstvdUniPk.narrowPeak	MCF-7	serum_starved_media	Pol2	ChIP MCF-7 Pol2
633	wgEncodeAwgTfbsUtaMcf7Pol2UniPk.narrowPeak	MCF-7	None	Pol2	ChIP MCF-7 Pol2
634	wgEncodeAwgTfbsUtaNhekCtcfUniPk.narrowPeak	NHEK	None	CTCF	ChIP NHEK CTCF
635	wgEncodeAwgTfbsUtaProgfibCtcfUniPk.narrowPeak	ProgFib	None	CTCF	ChIP ProgFib CTCF
636	wgEncodeAwgTfbsUtaProgfibPol2UniPk.narrowPeak	ProgFib	None	Pol2	ChIP ProgFib Pol2
637	wgEncodeAwgTfbsUwA549CtcfUniPk.narrowPeak	A549	None	CTCF	ChIP A549 CTCF
638	wgEncodeAwgTfbsUwAg04449CtcfUniPk.narrowPeak	AG04449	None	CTCF	ChIP AG04449 CTCF
639	wgEncodeAwgTfbsUwAg04450CtcfUniPk.narrowPeak	AG04450	None	CTCF	ChIP AG04450 CTCF
